Modelo,FPR,TPR
Regresión Logística,0.07800452644903909,0.1720752281736886
Regresión Logística,0.08018056974672111,0.17530192680003687
Regresión Logística,0.08217353247849239,0.17871300820503366
Regresión Logística,0.08440362813372902,0.18203189822070617
Regresión Logística,0.08626581903270691,0.18548907532036507
Regresión Logística,0.08795364748796028,0.18871577394671338
Regresión Logística,0.08955603834578862,0.19217295104637228
Regresión Logística,0.09117237819911493,0.19553793675670691
Regresión Logística,0.09346001346078066,0.19885682677237945
Regresión Logística,0.095794726582252,0.202175716788052
Regresión Logística,0.09810328533716466,0.20549460680372453
Regresión Logística,0.1001956346618589,0.2088595925140592
Regresión Logística,0.10220254638912815,0.21227067391905596
Regresión Logística,0.10393919632862439,0.2156356596293906
Regresión Logística,0.10595482617807984,0.2190467410343874
Regresión Logística,0.10815004934457158,0.2225500138287084
Regresión Logística,0.1104533772261725,0.22591499953904307
Regresión Logística,0.11267301113478566,0.2292338895547156
Regresión Logística,0.1150042370073825,0.232506683875726
Regresión Logística,0.11722387091599566,0.23582557389139855
Regresión Logística,0.11934586185612309,0.23928275099105745
Regresión Logística,0.1217607817017077,0.24269383239605422
Regresión Logística,0.12429601163346224,0.24610491380105098
Regresión Logística,0.12669523885911166,0.2493777081220614
Regresión Logística,0.1288137425503646,0.2528348852217203
Regresión Logística,0.1308346032731318,0.2561537752373928
Regresión Logística,0.13284848949815,0.25951876094772747
Regresión Logística,0.1347455528858728,0.2627915552687379
Regresión Logística,0.13654846055398437,0.26620263667373467
Regresión Logística,0.13896686764844346,0.2697520051627178
Regresión Logística,0.14075059544774532,0.27311699087305247
Regresión Logística,0.14274181455507937,0.27648197658338713
Regresión Logística,0.14551243378586198,0.27984696229372175
Regresión Logística,0.14773555494334964,0.2831658523093943
Regresión Logística,0.14997959959408422,0.2863464552410805
Regresión Logística,0.1521033341586489,0.2896192495620909
Regresión Logística,0.1546594875836504,0.2930303309670877
Regresión Logística,0.15712671616235235,0.29634922098276023
Regresión Logística,0.1598467702844549,0.29971420669309484
Regresión Logística,0.16260518414417682,0.3032174794874159
Regresión Logística,0.16537057250164772,0.30662856089241264
Regresión Logística,0.16775061985848744,0.3099935466027473
Regresión Logística,0.16997722826484957,0.3132663409237577
Regresión Logística,0.1719178822635035,0.3169079008020651
Regresión Logística,0.17456819140811622,0.32054946068037243
Regresión Logística,0.1765873085064462,0.32396054208536923
Regresión Logística,0.17870755582213635,0.327371623490366
Regresión Logística,0.18053138698349486,0.33073660920070064
Regresión Logística,0.1827667135120432,0.33414769060569743
Regresión Logística,0.1853838937923483,0.3376048677053563
Regresión Logística,0.18780753176011913,0.34092375772102884
Regresión Logística,0.19070194832594617,0.3442887434313635
Regresión Logística,0.1930663030628507,0.3476537291416982
Regresión Logística,0.19525803898046792,0.3509265234627086
Regresión Logística,0.1980914286909914,0.3543376048677054
Regresión Logística,0.2009265620259521,0.35770259057804
Regresión Logística,0.2034792282020791,0.36097538489905046
Regresión Logística,0.20652359646950924,0.36424817922006086
Regresión Logística,0.20917390561412197,0.36747487784640914
Regresión Logística,0.21120871533238714,0.3708398635567438
Regresión Logística,0.2145006782699061,0.37425094496174055
Regresión Logística,0.2168842128756203,0.3774776435880889
Regresión Logística,0.21931482534114013,0.3807504379090993
Regresión Logística,0.22226852513783352,0.3839310408407855
Regresión Logística,0.22458405839049517,0.3872960265511201
Regresión Logística,0.22719600779748847,0.3907071079561169
Regresión Logística,0.22990908742184205,0.3940720936664516
Regresión Logística,0.23305284228219517,0.3977136535447589
Regresión Logística,0.23597341321458087,0.4012169263390799
Regresión Logística,0.238299408213866,0.40453581635475244
Regresión Logística,0.2407788421636287,0.4079008020650871
Regresión Logística,0.24381100505999811,0.4111735963860975
Regresión Logística,0.24675424311006805,0.41440029501244585
Regresión Logística,0.2500427187987125,0.4177652807227805
Regresión Logística,0.2527331313053819,0.42094588365446667
Regresión Logística,0.25543226193423746,0.42431086936480134
Regresión Logística,0.2581296489386558,0.4275375679911496
Regresión Logística,0.2613640722697457,0.43085645800682215
Regresión Logística,0.2639062766992492,0.4341753480224947
Regresión Logística,0.26658099658598333,0.43754033373282936
Regresión Logística,0.268711705648297,0.44081312805383976
Regresión Logística,0.27130098793760615,0.4441320180695123
Regresión Logística,0.2737281131542515,0.44749700377984697
Regresión Logística,0.27663473509113923,0.45086198949018164
Regresión Logística,0.2793408402177438,0.4541808795058542
Regresión Logística,0.2828211145944853,0.4575458652161888
Regresión Logística,0.28586722648635265,0.4608647552318613
